Z75	शून्य सात पाँच
4	चार
6	छः
2	दो
991	नौ नौ एक
81	आठ एक
272	दो सात दो
9O1O1	नौ शून्य एक शून्य एक
Z16	शून्य एक छः
598	पाँच नौ आठ
5	पाँच
32Z8	तीन दो शून्य आठ
82	आठ दो
13O4O63	एक तीन शून्य चार शून्य छः तीन
O	शून्य
311	तीन एक एक
7637	सात छः तीन सात
O54O641	शून्य पाँच चार शून्य छः चार एक
Z	शून्य
8626Z36	आठ छः दो छः शून्य तीन छः
6648Z	छः छः चार आठ शून्य
26	दो छः
7Z71	सात शून्य सात एक
Z	शून्य
6	छः
O469O	शून्य चार छः नौ शून्य
O84618O	शून्य आठ चार छः एक आठ शून्य
2751Z	दो सात पाँच एक शून्य
688Z	छः आठ आठ शून्य
4385	चार तीन आठ पाँच
6779	छः सात सात नौ
673	छः सात तीन
14Z93	एक चार शून्य नौ तीन
5596196	पाँच पाँच नौ छः एक नौ छः
8	आठ
34495	तीन चार चार नौ पाँच
7	सात
3	तीन
O778762	शून्य सात सात आठ सात छः दो
6OO3	छः शून्य शून्य तीन
58	पाँच आठ
8512	आठ पाँच एक दो
215	दो एक पाँच
7	सात
ZZZ	शून्य शून्य शून्य
92Z69	नौ दो शून्य छः नौ
9	नौ
9	नौ
418	चार एक आठ
17422	एक सात चार दो दो
9OO9748	नौ शून्य शून्य नौ सात चार आठ
5Z56882	पाँच शून्य पाँच छः आठ आठ दो
2	दो
8	आठ
45	चार पाँच
16Z2355	एक छः शून्य दो तीन पाँच पाँच
O	शून्य
7198	सात एक नौ आठ
72	सात दो
7628	सात छः दो आठ
8O3	आठ शून्य तीन
1	एक
26O6659	दो छः शून्य छः छः पाँच नौ
42623	चार दो छः दो तीन
19	एक नौ
2776	दो सात सात छः
24536	दो चार पाँच तीन छः
4	चार
5	पाँच
5899	पाँच आठ नौ नौ
Z225	शून्य दो दो पाँच
36	तीन छः
929	नौ दो नौ
644Z3	छः चार चार शून्य तीन
1188	एक एक आठ आठ
517	पाँच एक सात
5664O23	पाँच छः छः चार शून्य दो तीन
Z6ZZ821	शून्य छः शून्य शून्य आठ दो एक
3	तीन
4	चार
6	छः
2	दो
77	सात सात
O5O8OOO	शून्य पाँच शून्य आठ शून्य शून्य शून्य
5	पाँच
8Z7	आठ शून्य सात
46842O1	चार छः आठ चार दो शून्य एक
2Z	दो शून्य
O5O	शून्य पाँच शून्य
Z4	शून्य चार
686	छः आठ छः
O3O4721	शून्य तीन शून्य चार सात दो एक
83Z	आठ तीन शून्य
O	शून्य
961	नौ छः एक
3713	तीन सात एक तीन
Z	शून्य
Z54982Z	शून्य पाँच चार नौ आठ दो शून्य
O191	शून्य एक नौ एक
49473	चार नौ चार सात तीन
Z74	शून्य सात चार
969	नौ छः नौ
1O	एक शून्य
85248	आठ पाँच दो चार आठ
Z	शून्य
6	छः
83355	आठ तीन तीन पाँच पाँच
4O75	चार शून्य सात पाँच
6Z	छः शून्य
3439Z	तीन चार तीन नौ शून्य
5432287	पाँच चार तीन दो दो आठ सात
5945795	पाँच नौ चार पाँच सात नौ पाँच
4152	चार एक पाँच दो
79O	सात नौ शून्य
67Z2553	छः सात शून्य दो पाँच पाँच तीन
3418	तीन चार एक आठ
8	आठ
2957O91	दो नौ पाँच सात शून्य नौ एक
7	सात
3	तीन
7139Z	सात एक तीन नौ शून्य
7	सात
99	नौ नौ
9	नौ
9	नौ
93884	नौ तीन आठ आठ चार
2	दो
8	आठ
O	शून्य
6787	छः सात आठ सात
O4	शून्य चार
33	तीन तीन
11485	एक एक चार आठ पाँच
1O631	एक शून्य छः तीन एक
72	सात दो
Z822Z	शून्य आठ दो दो शून्य
1	एक
ZZ	शून्य शून्य
3369644	तीन तीन छः नौ छः चार चार
Z53	शून्य पाँच तीन
12	एक दो
4826723	चार आठ दो छः सात दो तीन
4	चार
21Z	दो एक शून्य
5O86	पाँच शून्य आठ छः
29O7	दो नौ शून्य सात
935	नौ तीन पाँच
5	पाँच
4OO6	चार शून्य शून्य छः
113Z283	एक एक तीन शून्य दो आठ तीन
381O173	तीन आठ एक शून्य एक सात तीन
6O52	छः शून्य पाँच दो
3	तीन
85	आठ पाँच
4	चार
6	छः
85Z658Z	आठ पाँच शून्य छः पाँच आठ शून्य
2	दो
O3O68	शून्य तीन शून्य छः आठ
894	आठ नौ चार
77	सात सात
1443	एक चार चार तीन
35	तीन पाँच
5	पाँच
73951	सात तीन नौ पाँच एक
54624	पाँच चार छः दो चार
923	नौ दो तीन
O	शून्य
178	एक सात आठ
34943	तीन चार नौ चार तीन
381634O	तीन आठ एक छः तीन चार शून्य
Z	शून्य
849	आठ चार नौ
53783	पाँच तीन सात आठ तीन
Z19ZZ21	शून्य एक नौ शून्य शून्य दो एक
6O313	छः शून्य तीन एक तीन
Z	शून्य
6	छः
477	चार सात सात
612	छः एक दो
27ZZ	दो सात शून्य शून्य
79	सात नौ
24Z6	दो चार शून्य छः
